Order_ID,Order_Date,City,Restaurant_Name,Cuisine,Customer_Age,Gender,Veg_NonVeg,Order_Amount,Delivery_Time,Rating,Payment_Mode,Delivery_Partner,Order_Status,Distance_km,Quantity
63,2025-04-07,Hyderabad,Tandoori Nights,Italian,32,Male,Veg,161,20,3.2,Cash,Karan,Delivered,8.9,2
64,2025-04-08,Jaipur,Royal Biryani,Fast Food,20,Male,Non-Veg,951,38,3.9,Cash,Rahul,Cancelled,6.1,4
65,2025-01-08,Ahmedabad,Urban Tadka,Chinese,43,Female,Veg,1688,17,3.7,UPI,Vikas,Delivered,11.5,5
66,2025-03-28,Jaipur,Royal Biryani,Italian,37,Male,Non-Veg,1446,32,3.2,Card,Mohit,Delivered,1.3,2
67,2025-01-28,Bangalore,Chinese Bowl,Fast Food,43,Female,Non-Veg,2171,23,4.8,UPI,Aman,Cancelled,12.5,2
68,2025-06-05,Mumbai,Tandoori Nights,Italian,32,Female,Veg,2246,27,3.5,UPI,Rahul,Cancelled,1.9,1
69,2025-05-04,Pune,Tandoori Nights,Chinese,31,Male,Veg,1234,54,2.7,UPI,Karan,Cancelled,14.8,4
70,2025-02-14,Mumbai,Spice Kitchen,Fast Food,32,Male,Veg,1353,33,3.2,Cash,Vikas,Cancelled,11.3,2
71,2025-04-23,Mumbai,Spice Kitchen,Chinese,25,Male,Non-Veg,921,35,2.7,Cash,Rahul,Delivered,10.1,1
72,2025-06-17,Bangalore,Burger Hub,North Indian,18,Female,Veg,1986,38,2.6,Cash,Rahul,Delivered,1.7,5
73,2025-05-30,Mumbai,Pizza Point,Italian,34,Male,Non-Veg,1214,57,4.9,UPI,Arjun,Cancelled,4.0,3
74,2025-03-29,Mumbai,Burger Hub,Chinese,26,Male,Veg,196,35,3.5,Cash,Rahul,Cancelled,2.1,1
75,2025-05-07,Pune,Chinese Bowl,North Indian,31,Male,Non-Veg,2403,24,4.1,UPI,Arjun,Delivered,6.6,3
76,2025-04-15,Jaipur,Royal Biryani,Fast Food,19,Female,Non-Veg,1846,41,2.5,Cash,Arjun,Delivered,6.5,4
77,2025-02-22,Delhi,Urban Tadka,Chinese,31,Male,Veg,1813,51,4.7,Cash,Rahul,Delivered,1.2,5
78,2025-02-06,Ahmedabad,Urban Tadka,North Indian,36,Female,Veg,747,37,3.2,Card,Rahul,Delivered,2.5,4
79,2025-02-20,Jaipur,Spice Kitchen,North Indian,33,Female,Veg,1738,20,4.8,Card,Arjun,Delivered,10.0,2
80,2025-06-08,Bangalore,Food Factory,Fast Food,23,Male,Veg,1787,48,2.9,Cash,Aman,Delivered,4.5,6
81,2025-02-19,Delhi,Burger Hub,Italian,21,Female,Non-Veg,2403,55,4.4,Card,Karan,Cancelled,9.2,4
82,2025-04-10,Ahmedabad,Tandoori Nights,Fast Food,34,Female,Veg,245,15,4.0,Cash,Karan,Delivered,7.3,5
83,2025-04-28,Hyderabad,Spice Kitchen,Fast Food,30,Male,Veg,676,37,3.6,UPI,Karan,Delivered,1.6,2
84,2025-01-22,Ahmedabad,Tandoori Nights,Biryani,20,Male,Non-Veg,707,16,4.6,Card,Arjun,Delivered,3.7,4
85,2025-03-15,Hyderabad,Spice Kitchen,Chinese,20,Female,Non-Veg,800,35,4.7,Cash,Karan,Delivered,4.6,4
86,2025-02-23,Pune,Royal Biryani,Biryani,34,Male,Non-Veg,1674,17,3.0,Cash,Rahul,Cancelled,10.5,4
87,2025-02-13,Hyderabad,Royal Biryani,North Indian,42,Male,Non-Veg,2005,50,3.8,Card,Aman,Cancelled,14.9,6
88,2025-04-11,Ahmedabad,Tandoori Nights,Italian,30,Female,Veg,1625,36,4.4,Cash,Rahul,Delivered,9.6,1
89,2025-03-17,Hyderabad,Royal Biryani,Italian,38,Female,Veg,288,29,2.9,Card,Arjun,Cancelled,6.8,3
90,2025-01-13,Mumbai,Chinese Bowl,Chinese,37,Male,Veg,372,15,3.9,Cash,Aman,Cancelled,8.5,4
91,2025-05-30,Jaipur,Spice Kitchen,Chinese,29,Female,Veg,701,15,4.8,UPI,Arjun,Delivered,7.3,1
92,2025-06-13,Mumbai,Royal Biryani,Fast Food,43,Female,Veg,379,56,4.6,Cash,Mohit,Cancelled,9.4,5
93,2025-05-07,Mumbai,Spice Kitchen,North Indian,19,Male,Veg,1812,26,3.1,UPI,Aman,Delivered,9.6,6
94,2025-02-20,Mumbai,Urban Tadka,Chinese,34,Female,Veg,2233,34,2.7,Card,Aman,Cancelled,11.0,1
95,2025-04-07,Hyderabad,Urban Tadka,Fast Food,20,Female,Veg,1075,21,3.2,Card,Aman,Delivered,5.7,6
96,2025-06-27,Hyderabad,Royal Biryani,North Indian,26,Female,Non-Veg,1360,56,4.8,UPI,Aman,Delivered,3.4,2
97,2025-02-21,Mumbai,Tandoori Nights,Chinese,30,Female,Veg,1704,55,4.8,Card,Mohit,Cancelled,7.6,5
98,2025-06-28,Delhi,Burger Hub,Fast Food,41,Male,Non-Veg,1018,40,4.1,UPI,Mohit,Delivered,3.0,1
99,2025-01-29,Delhi,Spice Kitchen,Italian,22,Male,Veg,320,23,4.2,Card,Aman,Delivered,11.3,1
100,2025-06-01,Hyderabad,Tandoori Nights,Chinese,44,Male,Non-Veg,588,30,3.0,UPI,Aman,Delivered,14.3,6
101,2025-01-23,Hyderabad,Royal Biryani,Fast Food,21,Male,Veg,989,33,3.3,Cash,Vikas,Delivered,5.9,3
102,2025-01-13,Ahmedabad,Tandoori Nights,Italian,42,Female,Non-Veg,276,41,2.6,Card,Aman,Cancelled,7.6,1
103,2025-05-18,Pune,Food Factory,North Indian,36,Female,Veg,1936,15,3.8,Cash,Aman,Delivered,5.9,1
104,2025-05-06,Ahmedabad,Spice Kitchen,Fast Food,36,Female,Non-Veg,800,33,4.5,Card,Rahul,Cancelled,3.3,6
105,2025-01-21,Bangalore,Pizza Point,Italian,29,Male,Non-Veg,1766,20,3.6,Card,Aman,Cancelled,3.9,3
106,2025-04-20,Pune,Spice Kitchen,Fast Food,38,Male,Non-Veg,669,49,4.0,Card,Mohit,Delivered,5.9,3
107,2025-05-14,Mumbai,Chinese Bowl,Biryani,41,Female,Veg,2047,43,4.2,Cash,Mohit,Delivered,2.8,4
108,2025-06-14,Ahmedabad,Food Factory,Biryani,24,Female,Non-Veg,783,24,4.9,Card,Vikas,Cancelled,3.3,3
109,2025-02-18,Jaipur,Pizza Point,Chinese,39,Male,Veg,1723,24,5.0,Cash,Arjun,Cancelled,7.1,2
110,2025-01-28,Ahmedabad,Pizza Point,Italian,24,Female,Non-Veg,288,15,3.5,Cash,Arjun,Delivered,8.0,6
111,2025-03-17,Bangalore,Burger Hub,Chinese,26,Female,Veg,1142,42,4.3,Card,Arjun,Cancelled,12.8,6
112,2025-06-17,Hyderabad,Food Factory,Chinese,38,Male,Non-Veg,1921,35,3.1,Card,Aman,Cancelled,4.4,4
113,2025-06-11,Mumbai,Royal Biryani,Fast Food,33,Female,Veg,1826,48,4.2,UPI,Arjun,Cancelled,11.9,4
114,2025-05-06,Delhi,Burger Hub,Italian,35,Male,Veg,968,48,3.4,Card,Karan,Delivered,11.0,5
115,2025-01-05,Ahmedabad,Tandoori Nights,Biryani,28,Female,Non-Veg,1010,58,3.0,Card,Aman,Cancelled,9.9,3
116,2025-03-12,Bangalore,Urban Tadka,North Indian,18,Male,Non-Veg,1872,55,4.2,Cash,Mohit,Cancelled,2.5,3
117,2025-04-13,Pune,Food Factory,Fast Food,32,Male,Veg,679,19,4.5,Card,Rahul,Cancelled,10.0,6
118,2025-02-27,Hyderabad,Spice Kitchen,Italian,39,Female,Non-Veg,1355,50,4.1,Cash,Vikas,Delivered,4.7,4
119,2025-06-25,Jaipur,Urban Tadka,Chinese,33,Male,Non-Veg,1616,30,4.1,Cash,Karan,Cancelled,7.0,6
120,2025-01-22,Ahmedabad,Tandoori Nights,Chinese,27,Female,Veg,499,51,4.8,UPI,Mohit,Cancelled,9.9,1
121,2025-06-18,Delhi,Food Factory,North Indian,38,Female,Non-Veg,565,52,2.9,UPI,Rahul,Cancelled,5.9,2
122,2025-02-23,Bangalore,Spice Kitchen,Biryani,40,Male,Non-Veg,958,46,4.2,Card,Aman,Cancelled,10.4,1
123,2025-05-23,Delhi,Royal Biryani,Fast Food,25,Male,Non-Veg,2169,50,2.6,Cash,Rahul,Cancelled,4.5,2
124,2025-05-19,Pune,Burger Hub,Chinese,44,Female,Non-Veg,2454,46,4.2,Cash,Vikas,Cancelled,6.9,6
125,2025-01-20,Mumbai,Tandoori Nights,North Indian,18,Male,Non-Veg,534,47,3.7,UPI,Aman,Delivered,11.1,6
126,2025-02-02,Jaipur,Pizza Point,Italian,28,Female,Veg,1313,42,3.4,Cash,Mohit,Delivered,12.6,3
127,2025-04-01,Hyderabad,Chinese Bowl,Fast Food,28,Female,Non-Veg,983,56,3.7,UPI,Vikas,Delivered,5.4,3
128,2025-02-02,Pune,Pizza Point,North Indian,30,Female,Veg,1782,34,2.8,UPI,Rahul,Cancelled,9.5,6
129,2025-01-16,Hyderabad,Urban Tadka,Biryani,22,Male,Veg,311,57,4.1,Card,Rahul,Delivered,10.3,1
130,2025-04-18,Hyderabad,Pizza Point,North Indian,29,Male,Non-Veg,2452,60,3.1,Cash,Rahul,Cancelled,1.5,1
131,2025-04-21,Pune,Burger Hub,Fast Food,36,Male,Veg,1874,51,4.2,Cash,Karan,Delivered,1.2,4
132,2025-06-02,Pune,Spice Kitchen,Fast Food,42,Female,Veg,489,56,3.7,UPI,Arjun,Delivered,7.0,1
133,2025-06-25,Ahmedabad,Pizza Point,North Indian,24,Male,Veg,2084,16,3.2,Card,Rahul,Cancelled,11.3,2
134,2025-01-13,Jaipur,Spice Kitchen,North Indian,27,Female,Non-Veg,1190,18,4.3,UPI,Aman,Delivered,13.4,6
135,2025-06-08,Delhi,Urban Tadka,Italian,27,Male,Non-Veg,394,35,3.4,Card,Arjun,Cancelled,7.6,2
136,2025-02-07,Hyderabad,Pizza Point,Italian,38,Male,Non-Veg,2103,39,4.4,Cash,Vikas,Cancelled,5.1,1
137,2025-06-09,Ahmedabad,Tandoori Nights,Biryani,41,Male,Veg,1414,52,3.6,UPI,Karan,Cancelled,10.6,5
138,2025-03-01,Hyderabad,Chinese Bowl,Italian,40,Male,Non-Veg,1227,32,3.6,Card,Aman,Cancelled,12.7,5
139,2025-02-07,Jaipur,Chinese Bowl,Italian,35,Male,Non-Veg,1713,27,4.5,Card,Rahul,Cancelled,9.5,6
140,2025-04-12,Bangalore,Food Factory,Italian,36,Male,Non-Veg,2033,49,2.7,Cash,Aman,Delivered,6.6,5
141,2025-03-08,Hyderabad,Tandoori Nights,Fast Food,34,Male,Veg,1021,27,2.7,Card,Vikas,Cancelled,9.1,3
142,2025-04-14,Hyderabad,Spice Kitchen,Chinese,19,Female,Non-Veg,584,38,4.1,UPI,Rahul,Cancelled,9.4,3
143,2025-03-13,Pune,Burger Hub,North Indian,19,Male,Non-Veg,2473,28,3.2,Cash,Karan,Delivered,14.3,5
144,2025-06-05,Mumbai,Royal Biryani,North Indian,28,Male,Veg,1699,20,2.6,UPI,Mohit,Cancelled,13.2,4
145,2025-05-05,Hyderabad,Pizza Point,Biryani,38,Female,Veg,518,31,3.3,UPI,Arjun,Delivered,14.4,6
146,2025-05-10,Bangalore,Spice Kitchen,Fast Food,45,Male,Non-Veg,1113,29,2.9,Cash,Vikas,Delivered,13.6,1
147,2025-01-13,Jaipur,Chinese Bowl,North Indian,21,Male,Non-Veg,173,27,4.2,Cash,Mohit,Cancelled,11.6,1
148,2025-05-01,Jaipur,Tandoori Nights,Italian,30,Male,Non-Veg,2121,39,2.9,UPI,Rahul,Delivered,7.6,2
149,2025-01-10,Mumbai,Food Factory,North Indian,37,Female,Veg,1981,21,4.8,Cash,Aman,Delivered,7.3,3
150,2025-03-24,Hyderabad,Food Factory,Fast Food,21,Female,Veg,1509,29,4.3,UPI,Arjun,Cancelled,8.7,2
151,2025-04-23,Hyderabad,Spice Kitchen,Italian,31,Female,Veg,787,16,3.2,Cash,Vikas,Delivered,4.6,1
152,2025-03-23,Bangalore,Chinese Bowl,North Indian,22,Male,Veg,2443,45,4.6,UPI,Vikas,Delivered,14.6,4
153,2025-03-08,Mumbai,Food Factory,North Indian,30,Female,Non-Veg,814,18,4.6,Cash,Rahul,Delivered,7.2,5
154,2025-03-29,Pune,Spice Kitchen,Fast Food,18,Female,Veg,1624,42,2.6,Cash,Rahul,Cancelled,9.0,2
155,2025-02-16,Pune,Food Factory,Chinese,24,Male,Veg,2179,32,2.9,UPI,Mohit,Delivered,9.2,2
156,2025-01-03,Delhi,Urban Tadka,North Indian,34,Female,Non-Veg,1304,55,4.7,Cash,Aman,Delivered,6.7,4
157,2025-02-04,Hyderabad,Royal Biryani,Chinese,23,Female,Veg,819,59,3.4,Card,Aman,Cancelled,8.3,4
158,2025-05-13,Delhi,Pizza Point,Italian,40,Male,Non-Veg,1712,51,4.4,UPI,Vikas,Delivered,14.4,4
159,2025-04-25,Pune,Burger Hub,Biryani,43,Male,Veg,1147,20,3.1,UPI,Rahul,Delivered,5.4,5
160,2025-01-08,Delhi,Pizza Point,Chinese,26,Male,Non-Veg,2291,30,4.3,UPI,Vikas,Delivered,11.0,1
161,2025-03-11,Delhi,Chinese Bowl,Fast Food,36,Female,Veg,649,22,3.5,UPI,Mohit,Delivered,13.1,2
162,2025-06-21,Pune,Chinese Bowl,Fast Food,23,Male,Non-Veg,1872,53,4.6,Card,Aman,Cancelled,14.6,1
163,2025-04-03,Jaipur,Urban Tadka,Chinese,44,Female,Non-Veg,2461,35,4.5,Card,Aman,Cancelled,8.2,6
164,2025-04-01,Mumbai,Urban Tadka,North Indian,29,Male,Veg,433,35,3.6,Card,Arjun,Delivered,4.2,4
165,2025-04-12,Hyderabad,Chinese Bowl,North Indian,43,Male,Veg,1238,58,4.1,Card,Mohit,Delivered,9.7,3
166,2025-02-01,Pune,Burger Hub,Fast Food,25,Male,Non-Veg,613,34,3.4,UPI,Aman,Delivered,9.3,5
167,2025-03-10,Delhi,Chinese Bowl,Biryani,35,Male,Non-Veg,657,47,2.8,Cash,Karan,Cancelled,4.8,6
168,2025-01-23,Ahmedabad,Royal Biryani,Fast Food,37,Male,Non-Veg,974,50,4.3,Cash,Mohit,Cancelled,9.6,4
169,2025-03-21,Delhi,Food Factory,Italian,25,Male,Non-Veg,1773,15,4.8,UPI,Rahul,Cancelled,8.8,4
170,2025-03-11,Jaipur,Food Factory,Italian,19,Male,Veg,2407,19,4.0,Cash,Karan,Delivered,8.2,4
171,2025-04-01,Ahmedabad,Pizza Point,Biryani,25,Male,Non-Veg,1530,57,3.4,Card,Rahul,Cancelled,12.5,5
172,2025-01-25,Ahmedabad,Chinese Bowl,Italian,43,Male,Non-Veg,573,15,3.5,Card,Mohit,Delivered,8.0,5
173,2025-02-08,Bangalore,Royal Biryani,Biryani,37,Male,Non-Veg,2002,59,3.6,Card,Vikas,Cancelled,5.9,5
174,2025-05-23,Pune,Urban Tadka,Italian,18,Female,Non-Veg,1968,34,3.0,Cash,Rahul,Cancelled,9.1,5
175,2025-03-01,Delhi,Tandoori Nights,Italian,44,Male,Non-Veg,986,42,4.7,UPI,Aman,Delivered,4.6,4
176,2025-03-18,Pune,Royal Biryani,Biryani,37,Female,Non-Veg,1745,44,3.4,Card,Arjun,Cancelled,7.3,1
177,2025-06-23,Delhi,Food Factory,North Indian,31,Female,Non-Veg,2449,51,2.9,UPI,Karan,Cancelled,6.6,5
178,2025-05-31,Jaipur,Pizza Point,Chinese,29,Female,Non-Veg,457,34,3.8,UPI,Arjun,Cancelled,10.7,5
179,2025-04-18,Ahmedabad,Spice Kitchen,Biryani,27,Male,Veg,1838,26,2.7,Card,Mohit,Delivered,5.9,6
180,2025-06-12,Ahmedabad,Burger Hub,Fast Food,18,Male,Non-Veg,2414,15,4.8,Cash,Aman,Delivered,10.4,2
181,2025-02-14,Bangalore,Royal Biryani,Biryani,34,Male,Veg,1833,53,2.8,UPI,Mohit,Delivered,1.4,1
182,2025-02-13,Pune,Chinese Bowl,Fast Food,37,Female,Veg,201,58,4.4,Cash,Rahul,Delivered,6.0,2
183,2025-01-09,Jaipur,Pizza Point,Biryani,20,Female,Veg,1992,54,3.5,UPI,Rahul,Cancelled,9.2,1
184,2025-04-23,Delhi,Food Factory,Chinese,25,Male,Veg,860,35,2.5,Cash,Vikas,Cancelled,9.4,4
185,2025-01-18,Mumbai,Urban Tadka,Biryani,25,Female,Non-Veg,1782,60,3.7,UPI,Aman,Delivered,3.4,4
186,2025-02-17,Delhi,Royal Biryani,Fast Food,35,Female,Veg,1522,49,4.7,Cash,Karan,Delivered,14.5,4
187,2025-03-31,Pune,Food Factory,Fast Food,24,Female,Non-Veg,1560,30,3.6,Cash,Arjun,Delivered,5.8,2
188,2025-03-03,Ahmedabad,Spice Kitchen,North Indian,24,Female,Veg,2423,43,3.7,UPI,Rahul,Cancelled,5.9,6
189,2025-04-14,Bangalore,Food Factory,Italian,33,Male,Veg,2004,58,2.8,Card,Vikas,Cancelled,9.2,3
190,2025-05-17,Mumbai,Urban Tadka,Biryani,34,Male,Veg,652,58,3.8,Card,Vikas,Cancelled,1.4,6
191,2025-05-26,Mumbai,Royal Biryani,North Indian,30,Male,Veg,1098,35,3.0,UPI,Aman,Cancelled,12.3,3
192,2025-02-19,Delhi,Royal Biryani,North Indian,25,Female,Veg,1784,33,3.4,Cash,Arjun,Delivered,14.1,2
193,2025-01-08,Jaipur,Tandoori Nights,Fast Food,18,Female,Veg,1790,37,4.8,UPI,Rahul,Cancelled,2.6,5
194,2025-02-26,Ahmedabad,Burger Hub,Fast Food,19,Male,Non-Veg,961,34,2.9,Card,Aman,Cancelled,9.8,2
195,2025-05-25,Hyderabad,Food Factory,Biryani,33,Female,Non-Veg,1579,15,2.8,Card,Vikas,Delivered,13.3,5
196,2025-06-05,Ahmedabad,Burger Hub,Chinese,39,Male,Veg,1454,28,4.4,Cash,Arjun,Delivered,6.8,6
197,2025-04-11,Ahmedabad,Food Factory,Italian,34,Male,Non-Veg,1886,43,4.8,Card,Mohit,Cancelled,8.1,6
198,2025-06-28,Mumbai,Urban Tadka,Biryani,45,Male,Non-Veg,925,17,4.9,Card,Vikas,Delivered,8.6,6
199,2025-03-02,Pune,Royal Biryani,Chinese,19,Male,Non-Veg,1572,41,2.7,Card,Vikas,Delivered,2.9,6
200,2025-05-05,Ahmedabad,Chinese Bowl,Chinese,40,Male,Veg,2261,59,3.6,Card,Vikas,Cancelled,2.9,6
201,2025-02-06,Pune,Food Factory,Italian,38,Male,Non-Veg,843,58,4.2,Card,Karan,Cancelled,12.6,1
202,2025-06-26,Jaipur,Burger Hub,Italian,33,Male,Veg,397,32,3.3,UPI,Arjun,Cancelled,7.3,1
203,2025-02-11,Jaipur,Chinese Bowl,Fast Food,36,Female,Non-Veg,838,50,2.7,UPI,Karan,Cancelled,2.2,6
204,2025-03-26,Ahmedabad,Royal Biryani,North Indian,38,Female,Non-Veg,2150,27,4.5,Cash,Aman,Cancelled,13.9,6
205,2025-03-15,Ahmedabad,Royal Biryani,Chinese,20,Male,Veg,253,40,4.6,Cash,Vikas,Delivered,14.5,5
206,2025-06-24,Mumbai,Pizza Point,Italian,41,Female,Non-Veg,905,56,4.6,Cash,Rahul,Cancelled,2.9,3
